NOME EVENTO,DESCRICAO,DATA,HORARIO,ENTRADA,COUVERT,LOCAL
Cine Cultura,"Filme ""Here""","10/05/2024, 11/05/2024, 12/05/2024",14h30 até às 20h30,5 a 10 reais,Não há,Cine Cultura Goiás - Praça Cívica
Alceu Valença,"Alceu Valença é um renomado cantor, compositor e instrumentista brasileiro, conhecido por sua contribuição significativa à música popular brasileira (MPB).",10/05/2024,18h,80 a 160 reais,Não há,Centro de Convenções PUC
Mandrake Fest,"O Desfile de Cosplay no Mandrake Fest 2024 será uma
das atrações do evento, que decidiu inovar e produzir um evento Cosplay com
características diferentes. O evento ocorrerá durante três dias 10, 11 e 12 de
maio respectivamente sexta, sábado e domingo no Centro Cultural Cora Coralina e
os candidatos inscritos serão avaliados nos três dias por jurados ocultos que
estarão avaliando roupas, caracterização dos personagens, e detalhes nos
candidatos. Os Cosplay inscritos que forem aos três dias do evento serão
avaliados todos os dias podendo usar mais de uma vestimenta desde que estejam
apresentadas no formulário de inscrição, ao final os jurados ocultos somarão as
notas e darão o resultado, não haverá desfile formal e sim os candidatos
estarão sendo observados e analisados pelo jurado durante todo o evento. Para dar
mais transparência ao final do processo de avaliação ao final do evento os
jurados serão revelados e o resultado do concurso será dado pós-evento.","10/05/2024, 11/05/2024, 12/05/2024",10h,gratuito,Não há,Vila Cultural Cora Coralina
Kafka e a Boneca viajante,"Não perca o aclamado musical ""Kafka e a boneca viajante"" em Goiânia! Depois de sucesso pelo Brasil, o espetáculo chega ao Teatro Goiânia neste final de semana.

📖 Inspirado na vida de Franz Kafka, o espetáculo narra uma história comovente e intrigante. Descubra a fantástica jornada de um escritor, uma menina e uma boneca perdida.","10/05/2024, 11/05/2024, 12/05/2024",19h,18 à 150,Não há,Teatro Goiânia
Mercadinho Especial Dia das Mães,"Dia 10/05
Celebrando nossas mães que são portais de vida abundante. Vamos realizar um dia de muita beleza e amizade.
☀️ Mercadinho especial - Dia das mães ☀️
.
Reunimos um time de parceiros para oferecer várias opções de presentes:
.
Novelo com desconto na coleção bem-viva e novidades na linha trapézio!",10/05/2024,12h ,gratuito,Não há,Coletivo Centopeia
Ingrid Lobo,"✷SEXTAU COM MUITO LINDEZA✷
Sextamos com discotecagem de @ingridlobooo
promo de chope até às 21h e muito frescor 💫",10/05/2024,18h,gratuito,5 reais,Tau Bar
Baile do Yanz,"SEXTA_Baile do Yanz
com @jovemyanznobeat @georgiadj__ @djbigoficial @4everclairdj
ELETROFUNK/FUNK",10/05/2024,20h,10 reais,Não há,Birosca e Meio bar
Auê,"SÁBADO_ Auê
com @rodrigonadj
POP/FUNK
*Sem taxa de conveniência.
",11/05/2024,20h,gratuito,Não há,Birosca e Meio bar
Sextonna,"Diretamente da MAIOR PISTA DE DANÇA DO MUNDO, sua SEXTONNA será dedicada à Rainha do Pop pra termos um gostinho a mais daquilo que vivemos no último domingo, @claudiofrncs e @jomasdj_ comandam essa noite 
Nosso SABADÃO vem com muito POP & FUNK pra gente curtir ao som dos Djs @felipedoceu e @oiyuri enquanto tomamos um drink com os amigos. Domingo tem PAGODIN NO RTT com @levementesensual e com os DJs @djmucio e @djdanieldemello",10/05/2024,19h,15 reais,Não há,Retetê
Roxy Solidária,"Hoje vai ser tão especial que a família ROXY vai vai estar toda junta 🤩 Afinal, dá pra se divertir fazendo o bem por quem está com dificuldades nas enchentes do RS.

ENTRADA FREE PARA QUEM DOAR 1KG DE ALIMENTO OU 1 FARDO DE ÁGUA MINERAL SEM GÁS!

🍹E tem promo: 2x vodka com energético a 15 reais até 0h",10/05/2024,22h,1 kg de alimento não perecível ou um fardo de água mineral,Não há,Roxy
Grace Venturini,"Nossa noite de sexta-feira promete! @graceventurinioficial retorna ao Deck mais charmoso da cidade para encantar com seu vozeirão, uma seleção de inesquecíveis hits da MPB.🎤🍃

Esperamos vocês no nosso jardim do Setor Oeste, 10.05 (sexta-feira) à partir de 19h ✨",10/05/2024,19h,gratuito,15 reais,Casa Baru
Heróis do Botequim,Show de samba com grupo Goiano,10/05/2024,20h,"Arrecadação solidária de água mineral, roupas limpas, cobertores, fraldas ou ração.",Não há,Cervejaria Dias
DJ Caveira,DJ de musicalidade brasileira,10/05/2024,19h,gratuito,Não informado,Session Skate Bar
Trio Miaêro,"Sexta-feira é dia de forrozinho pé de serra🎶🎶
📍Sexta-feira
✔️Forró no Quintal
🎙@triomiaero
🔹️Couvert artístico R$10.00
⏰️ A casa abre das 18h a meia noite.
Crédito do vídeo: @triomiaero",10/05/2024,18h,10 reais,Não há,Quintal do Jajá
Cadela Soundsystem,"Preparem-se! Com atração internacional, a edição que comemora um ano da Cadela Soundsystem acontece no próximo dia 10/05 (sexta-feira), às 22h00 no Arcade Club.
videnciando o protagonismo na cultura underground de música eletrônica, o line-up é composto 100% pessoas trans: Slim Soledad (UE), Miss Tacacá (PA), Anarkotrans (Pocket Show) e as DJs residentes e produtoras CADELACÉU e La Princess Mila.",10/05/2024,22h,20 reais,Não há,Arcade Club
Pré-Bday Dona da Roda,Roda de samba feminino,11/05/2024,14h,40 reais,Não há,Quintal Girassaia
Música no prato,"Festival Música no Prato
11 de maio | 12h às 22h
Centro Cultural Martim Cererê
“A gente quer comida, diversão e arte!”",11/05/2024,12h,30 à 60 reais,Não há,Martim Cererê
Feira na Varanda,"• 11/05
• das 10h ás 18hrs
• Na Varanda do Ipê, em frente ao Lyceu de Goiânia

11h - 13hrs
Show Duo com @delirio.ink e @danifrisson

14h - 15:30h
Dj @paulisssima_

16h - 18hrs
Palco aberto para música e poesia com participação especial de @kiiiiiiiron @lobento_ @a.naju.lia @jopemascarenhas",11/05/2024,11h ,gratuito,Não há,Varanda Ipê
Bazar das Yas,sem descrição,11/05/2024,11h,gratuito,Não há,Ateliê Naya Violeta
Silk Day,sem descrição,,14h,gratuito,Não há,"Rua 55, n° 765, Centro"
